posting_date,work_year,job_title,ai_role_category,experience_level,employment_type,salary_usd,salary_band,company_location,region,employee_residence,remote_type,company_size,industry,ai_tools_required,yoy_demand_change,high_demand,ai_disruption_risk,data_note
2023-05-06,2023,Data Scientist,Data Science,Senior,Full-Time,90700.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, R, Tidyverse, ggplot2",0.12,True,Medium,real
2023-01-13,2023,Data Analyst,Data Analytics,Senior,Full-Time,130000.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"R, SQL, ggplot2, Shiny",0.01,False,High,real
2023-01-04,2023,Data Analyst,Data Analytics,Senior,Full-Time,100000.0,$80K-$120K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, SQL, Redash, Postgres",-0.05,False,High,real
2023-01-23,2023,Applied Scientist,Data Science,Entry Level,Full-Time,213660.0,$180K-$250K,United States,North America,United States,On-site,Large (250+),Technology,"Python, Scikit-learn, SQL, Power BI",0.08,False,Medium,real
2023-11-14,2023,Applied Scientist,Data Science,Entry Level,Full-Time,130760.0,$120K-$180K,United States,North America,United States,On-site,Large (250+),Technology,"Python, XGBoost, SHAP, SQL",0.05,False,Medium,real
2023-09-01,2023,Data Modeler,Other AI / Data,Senior,Full-Time,147100.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, SQL, Spark, Power BI",0.05,False,Medium,real
2023-11-28,2023,Data Modeler,Other AI / Data,Senior,Full-Time,90700.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, TensorFlow, SQL, AWS",0.05,False,Medium,real
2023-03-20,2023,Data Scientist,Data Science,Senior,Full-Time,170000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, XGBoost, SHAP, SQL",0.07,False,Medium,real
2023-05-05,2023,Data Scientist,Data Science,Senior,Full-Time,150000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, XGBoost, SHAP, SQL",0.12,True,Medium,real
2023-11-08,2023,Data Analyst,Data Analytics,Mid Level,Full-Time,150000.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"SQL, Looker, Python, BigQuery",0.01,False,High,real
2023-10-12,2023,Data Analyst,Data Analytics,Mid Level,Full-Time,110000.0,$80K-$120K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, SQL, Tableau, Pandas",0.03,False,High,real
2023-12-02,2023,Research Engineer,Other AI / Data,Senior,Full-Time,275000.0,$250K+,Germany,Europe,Germany,On-site,Medium (50-250),Technology,"Python, SQL, Spark, Power BI",0.05,False,Medium,real
2023-09-12,2023,Research Engineer,Other AI / Data,Senior,Full-Time,174000.0,$120K-$180K,Germany,Europe,Germany,On-site,Medium (50-250),Technology,"Python, R, SQL, Excel",0.12,True,Medium,real
2023-06-05,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,230000.0,$180K-$250K,United Kingdom,Europe,United Kingdom,Remote,Medium (50-250),Technology,"SQL, Google Analytics, Python, Looker",0.18,True,High,real
2023-12-22,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,143200.0,$120K-$180K,United Kingdom,Europe,United Kingdom,Remote,Medium (50-250),Technology,"SQL, Sigma, dbt, Databricks",0.22,True,High,real
2023-09-05,2023,Business Intelligence Engineer,Other AI / Data,Senior,Full-Time,225000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"R, Python, SQL, ggplot2",0.1,True,Medium,real
2023-08-13,2023,Business Intelligence Engineer,Other AI / Data,Senior,Full-Time,156400.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, R, SQL, Excel",0.1,True,Medium,real
2023-08-09,2023,Machine Learning Engineer,Machine Learning,Senior,Full-Time,200000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, TensorFlow, TFX, Vertex AI",0.25,True,Low,real
2023-01-10,2023,Machine Learning Engineer,Machine Learning,Senior,Full-Time,130000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, XGBoost, SHAP, Plotly",0.22,True,Low,real
2023-09-01,2023,Data Strategist,Other AI / Data,Senior,Full-Time,90000.0,$80K-$120K,Canada,North America,Canada,On-site,Medium (50-250),Technology,"Python, SQL, Scikit-learn, Tableau",0.1,True,Medium,real
2023-06-03,2023,Data Strategist,Other AI / Data,Senior,Full-Time,72000.0,$50K-$80K,Canada,North America,Canada,On-site,Medium (50-250),Technology,"Python, SQL, Plotly, Streamlit",0.1,True,Medium,real
2023-09-18,2023,Data Engineer,Data Engineering,Senior,Full-Time,253200.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Azure Data Factory, Synapse, SQL",0.22,True,Medium,real
2023-03-12,2023,Data Engineer,Data Engineering,Senior,Full-Time,90700.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Luigi, Hive, Presto",0.22,True,Medium,real
2023-12-03,2023,Computer Vision Engineer,Computer Vision,Senior,Full-Time,342810.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, DeepFace, FaceNet, OpenCV",0.1,True,Low,real
2023-03-26,2023,Computer Vision Engineer,Computer Vision,Senior,Full-Time,184590.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Segment Anything, PyTorch, ONNX",0.08,False,Low,real
2023-06-25,2023,Data Engineer,Data Engineering,Mid Level,Full-Time,162500.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Apache Spark, Airflow, SQL",0.18,True,Medium,real
2023-09-09,2023,Data Engineer,Data Engineering,Mid Level,Full-Time,130000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Scala, Spark, Kafka, HDFS",0.18,True,Medium,real
2023-07-26,2023,Data Analyst,Data Analytics,Mid Level,Full-Time,105380.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, SQL, Redash, Postgres",-0.05,False,High,real
2023-03-02,2023,Data Analyst,Data Analytics,Mid Level,Full-Time,64500.0,$50K-$80K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Jupyter, Pandas, Plotly",-0.05,False,High,real
2023-03-03,2023,Data Quality Analyst,Other AI / Data,Entry Level,Full-Time,100000.0,$80K-$120K,Nigeria,Africa,Nigeria,Remote,Large (250+),Technology,"Python, SQL, Plotly, Streamlit",0.1,True,Medium,real
2023-02-14,2023,Compliance Data Analyst,Data Analytics,Entry Level,Full-Time,30000.0,<$50K,Nigeria,Africa,Nigeria,Remote,Large (250+),Technology,"SQL, Sigma, dbt, Databricks",0.12,True,High,real
2022-09-04,2022,Machine Learning Engineer,Machine Learning,Mid Level,Full-Time,20984.0,<$50K,India,Asia Pacific,India,Hybrid,Large (250+),Technology,"Python, TensorFlow, TFX, Vertex AI",0.15,True,Low,real
2023-03-25,2023,Applied Scientist,Data Science,Entry Level,Full-Time,204620.0,$180K-$250K,United States,North America,United States,On-site,Large (250+),Technology,"Python, Polars, DuckDB, Plotly",0.05,False,Medium,real
2023-11-19,2023,Applied Scientist,Data Science,Entry Level,Full-Time,110680.0,$80K-$120K,United States,North America,United States,On-site,Large (250+),Technology,"Python, Pandas, SQL, Streamlit",0.05,False,Medium,real
2023-05-13,2023,Data Engineer,Data Engineering,Senior,Full-Time,270703.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Databricks, Unity Catalog, SQL",0.25,True,Medium,real
2023-09-07,2023,Data Engineer,Data Engineering,Senior,Full-Time,221484.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Trino, Iceberg, MinIO",0.18,True,Medium,real
2023-08-12,2023,Data Scientist,Data Science,Senior,Full-Time,212750.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Pandas, SQL, Streamlit",0.07,False,Medium,real
2023-02-03,2023,Data Scientist,Data Science,Senior,Full-Time,185000.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, R, Tidyverse, ggplot2",0.1,True,Medium,real
2023-03-23,2023,Data Scientist,Data Science,Senior,Full-Time,262000.0,$250K+,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, TensorFlow, BigQuery, Looker",0.07,False,Medium,real
2023-02-23,2023,Data Scientist,Data Science,Senior,Full-Time,245000.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"R, Python, SAS, Tableau",0.07,False,Medium,real
2023-08-09,2023,Data Scientist,Data Science,Senior,Full-Time,275300.0,$250K+,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, PyTorch, Pandas, Seaborn",0.12,True,Medium,real
2023-06-02,2023,Data Scientist,Data Science,Senior,Full-Time,183500.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Spark, Databricks, SQL",0.07,False,Medium,real
2023-06-22,2023,Data Scientist,Data Science,Senior,Full-Time,218500.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, R, Tidyverse, ggplot2",0.08,False,Medium,real
2023-12-09,2023,Data Scientist,Data Science,Senior,Full-Time,199098.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, SQL, Pandas, Plotly",0.12,True,Medium,real
2023-09-12,2023,Data Engineer,Data Engineering,Senior,Full-Time,203300.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Kafka, Spark, Hadoop",0.25,True,Medium,real
2023-08-12,2023,Data Engineer,Data Engineering,Senior,Full-Time,123600.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, dbt, Fivetran, Databricks",0.15,True,Medium,real
2023-04-15,2023,Research Engineer,Other AI / Data,Senior,Full-Time,189110.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, SQL, Spark, Power BI",0.08,False,Medium,real
2023-12-02,2023,Research Engineer,Other AI / Data,Senior,Full-Time,139000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Scikit-learn, FastAPI, Docker",0.08,False,Medium,real
2023-04-18,2023,Data Scientist,Data Science,Executive,Full-Time,258750.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"R, Python, SAS, Tableau",0.08,False,Medium,real
2023-09-13,2023,Data Scientist,Data Science,Executive,Full-Time,185000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, SQL, Scikit-learn, Tableau",0.12,True,Medium,real
2023-01-14,2023,Data Engineer,Data Engineering,Senior,Full-Time,231500.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, AWS Glue, Redshift, S3",0.25,True,Medium,real
2023-02-05,2023,Data Engineer,Data Engineering,Senior,Full-Time,166000.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Airbyte, dbt, Snowflake",0.25,True,Medium,real
2023-02-26,2023,Data Scientist,Data Science,Senior,Full-Time,172500.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, TensorFlow, BigQuery, Looker",0.05,False,Medium,real
2023-06-10,2023,Data Scientist,Data Science,Senior,Full-Time,110500.0,$80K-$120K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Pandas, SQL, Streamlit",0.05,False,Medium,real
2023-04-12,2023,Data Engineer,Data Engineering,Senior,Full-Time,238000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, dbt, Airflow, Snowflake",0.22,True,Medium,real
2023-11-10,2023,Data Engineer,Data Engineering,Senior,Full-Time,176000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Spark, Delta Lake, MLflow",0.15,True,Medium,real
2023-10-24,2023,Data Engineer,Data Engineering,Senior,Full-Time,237000.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Airbyte, dbt, Snowflake",0.3,True,Medium,real
2023-03-11,2023,Data Engineer,Data Engineering,Senior,Full-Time,201450.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Spark, Delta Lake, MLflow",0.25,True,Medium,real
2023-03-25,2023,Applied Scientist,Data Science,Senior,Full-Time,309400.0,$250K+,United States,North America,United States,On-site,Large (250+),Technology,"Python, SQL, Pandas, Plotly",0.08,False,Medium,real
2023-03-02,2023,Applied Scientist,Data Science,Senior,Full-Time,159100.0,$120K-$180K,United States,North America,United States,On-site,Large (250+),Technology,"Python, SQL, Scikit-learn, Tableau",0.05,False,Medium,real
2023-06-05,2023,Data Engineer,Data Engineering,Senior,Full-Time,115000.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, AWS Glue, Redshift, S3",0.3,True,Medium,real
2023-08-07,2023,Data Engineer,Data Engineering,Senior,Full-Time,81500.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Prefect, dbt, BigQuery",0.3,True,Medium,real
2023-11-06,2023,Data Scientist,Data Science,Senior,Full-Time,237000.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Polars, DuckDB, Plotly",0.05,False,Medium,real
2023-07-22,2023,Data Scientist,Data Science,Senior,Full-Time,201450.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, TensorFlow, BigQuery, Looker",0.07,False,Medium,real
2023-04-23,2023,Computer Vision Engineer,Computer Vision,Senior,Full-Time,280000.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, OpenCV, MediaPipe, TensorRT",0.05,False,Low,real
2023-11-03,2023,Computer Vision Engineer,Computer Vision,Senior,Full-Time,210000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, DeepFace, FaceNet, OpenCV",0.08,False,Low,real
2023-12-13,2023,Data Architect,Other AI / Data,Senior,Full-Time,280100.0,$250K+,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, dbt, SQL, Looker",0.05,False,Medium,real
2023-04-03,2023,Data Architect,Other AI / Data,Senior,Full-Time,168100.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, SQL, Pandas, Matplotlib",0.12,True,Medium,real
2023-11-26,2023,Data Engineer,Data Engineering,Senior,Full-Time,193500.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Databricks, Unity Catalog, SQL",0.15,True,Medium,real
2023-10-25,2023,Data Engineer,Data Engineering,Senior,Full-Time,139000.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Apache Spark, Airflow, SQL",0.25,True,Medium,real
2023-11-24,2023,Data Scientist,Data Science,Mid Level,Full-Time,65062.0,$50K-$80K,Hong Kong,Asia Pacific,Hong Kong,On-site,Large (250+),Technology,"Python, PyTorch, Pandas, Seaborn",0.1,True,Medium,real
2023-11-21,2023,Machine Learning Engineer,Machine Learning,Senior,Full-Time,150000.0,$120K-$180K,United States,North America,Portugal,Remote,Medium (50-250),Technology,"Python, TensorFlow, Keras, NumPy",0.15,True,Low,real
2023-11-06,2023,Applied Machine Learning Engineer,Machine Learning,Mid Level,Full-Time,69751.0,$50K-$80K,Germany,Europe,India,Remote,Small (<50),Technology,"Python, PyTorch, Ray Tune, Weights & Biases",0.07,False,Low,real
2022-02-11,2022,AI Developer,Other AI / Data,Entry Level,Full-Time,300000.0,$250K+,India,Asia Pacific,India,Hybrid,Large (250+),Technology,"Python, TensorFlow, SQL, AWS",0.07,False,Medium,real
2023-01-28,2023,Machine Learning Engineer,Machine Learning,Mid Level,Full-Time,96578.0,$80K-$120K,Netherlands,Europe,Netherlands,Remote,Large (250+),Technology,"Python, TensorFlow, Keras, NumPy",0.3,True,Low,real
2023-09-26,2023,Business Intelligence Engineer,Other AI / Data,Senior,Full-Time,185900.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"R, Python, SQL, ggplot2",0.07,False,Medium,real
2023-12-17,2023,Business Intelligence Engineer,Other AI / Data,Senior,Full-Time,129300.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"R, Python, SQL, ggplot2",0.07,False,Medium,real
2023-12-10,2023,Data Engineer,Data Engineering,Senior,Full-Time,225000.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Spark, Delta Lake, MLflow",0.25,True,Medium,real
2023-02-12,2023,Data Engineer,Data Engineering,Senior,Full-Time,175000.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, AWS Glue, Redshift, S3",0.25,True,Medium,real
2023-08-17,2023,Data Engineer,Data Engineering,Senior,Full-Time,185000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Azure Data Factory, Synapse, SQL",0.22,True,Medium,real
2023-09-04,2023,Data Engineer,Data Engineering,Senior,Full-Time,140000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Luigi, Hive, Presto",0.22,True,Medium,real
2023-04-02,2023,Data Scientist,Data Science,Senior,Full-Time,48289.0,<$50K,Spain,Europe,Spain,On-site,Medium (50-250),Technology,"Python, Polars, DuckDB, Plotly",0.12,True,Medium,real
2023-08-11,2023,Data Scientist,Data Science,Senior,Full-Time,38631.0,<$50K,Spain,Europe,Spain,On-site,Medium (50-250),Technology,"Python, SQL, Scikit-learn, Tableau",0.05,False,Medium,real
2023-09-07,2023,Data Scientist,Data Science,Senior,Full-Time,105000.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, SQL, dbt, Looker",0.07,False,Medium,real
2023-10-02,2023,Data Scientist,Data Science,Senior,Full-Time,70000.0,$50K-$80K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, TensorFlow, BigQuery, Looker",0.05,False,Medium,real
2023-10-26,2023,Machine Learning Engineer,Machine Learning,Entry Level,Full-Time,163196.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, TensorFlow, Keras, NumPy",0.15,True,Low,real
2023-05-18,2023,Machine Learning Engineer,Machine Learning,Entry Level,Full-Time,145885.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Scikit-learn, Feature-engine, SHAP",0.3,True,Low,real
2023-07-21,2023,Data Engineer,Data Engineering,Senior,Full-Time,217000.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Databricks, Unity Catalog, SQL",0.25,True,Medium,real
2023-10-04,2023,Data Engineer,Data Engineering,Senior,Full-Time,185000.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, AWS Glue, Redshift, S3",0.25,True,Medium,real
2023-04-08,2023,Data Analyst,Data Analytics,Senior,Full-Time,202800.0,$180K-$250K,United States,North America,United States,On-site,Large (250+),Technology,"SQL, Mode, Python, Redshift",0.01,False,High,real
2023-01-20,2023,Data Analyst,Data Analytics,Senior,Full-Time,104300.0,$80K-$120K,United States,North America,United States,On-site,Large (250+),Technology,"SQL, Jupyter, Pandas, Plotly",-0.02,False,High,real
2023-03-14,2023,Data Analyst,Data Analytics,Senior,Full-Time,145000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Jupyter, Pandas, Plotly",-0.05,False,High,real
2023-05-12,2023,Data Analyst,Data Analytics,Senior,Full-Time,65000.0,$50K-$80K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Google Analytics, Python, Looker",-0.05,False,High,real
2023-03-22,2023,Data Engineer,Data Engineering,Senior,Full-Time,165000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Databricks, Unity Catalog, SQL",0.22,True,Medium,real
2023-12-21,2023,Data Engineer,Data Engineering,Senior,Full-Time,132300.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, dbt, Fivetran, Databricks",0.18,True,Medium,real
2023-11-27,2023,Data Engineer,Data Engineering,Senior,Full-Time,179170.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Prefect, dbt, BigQuery",0.22,True,Medium,real
2023-07-18,2023,Data Engineer,Data Engineering,Senior,Full-Time,94300.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Airbyte, dbt, Snowflake",0.22,True,Medium,real
2023-12-11,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,152500.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Mode, Python, Redshift",0.22,True,High,real
2023-09-28,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,116450.0,$80K-$120K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Google Analytics, Python, Looker",0.3,True,High,real
2023-12-08,2023,Data Engineer,Data Engineering,Senior,Full-Time,247300.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, GCP Dataflow, BigQuery, Pub/Sub",0.3,True,Medium,real
2023-06-02,2023,Data Engineer,Data Engineering,Senior,Full-Time,133800.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Luigi, Hive, Presto",0.22,True,Medium,real
2023-10-25,2023,Research Engineer,Other AI / Data,Senior,Full-Time,203000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, R, SQL, Excel",0.1,True,Medium,real
2023-01-15,2023,Research Engineer,Other AI / Data,Senior,Full-Time,133000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, SQL, Spark, Power BI",0.05,False,Medium,real
2023-07-09,2023,Research Scientist,Data Science,Entry Level,Full-Time,220000.0,$180K-$250K,United States,North America,United States,Hybrid,Large (250+),Technology,"Python, XGBoost, SHAP, SQL",0.1,True,Medium,real
2022-03-19,2022,Machine Learning Engineer,Machine Learning,Entry Level,Full-Time,56536.0,$50K-$80K,Switzerland,Europe,Switzerland,Remote,Small (<50),Technology,"Python, Scikit-learn, Feature-engine, SHAP",0.25,True,Low,real
2023-05-20,2023,Data Scientist,Data Science,Senior,Full-Time,150000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Spark, Databricks, SQL",0.12,True,Medium,real
2023-10-08,2023,Data Scientist,Data Science,Senior,Full-Time,120000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, TensorFlow, BigQuery, Looker",0.05,False,Medium,real
2023-04-25,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,289800.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Sigma, dbt, Databricks",0.15,True,High,real
2023-10-19,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,214000.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Sigma, dbt, Databricks",0.25,True,High,real
2023-05-05,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,179820.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Excel, SQL, Power BI, Python",0.25,True,High,real
2023-05-11,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,143860.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Mixpanel, Python, Amplitude",0.22,True,High,real
2023-06-15,2023,Machine Learning Engineer,Machine Learning,Senior,Full-Time,283200.0,$250K+,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Spark MLlib, Databricks, MLflow",0.3,True,Low,real
2023-10-08,2023,Machine Learning Engineer,Machine Learning,Senior,Full-Time,188800.0,$180K-$250K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Scikit-learn, Imbalanced-learn, SMOTE",0.3,True,Low,real
2023-12-19,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,289800.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"Excel, SQL, Power BI, Python",0.18,True,High,real
2023-10-23,2023,Analytics Engineer,Data Analytics,Senior,Full-Time,214200.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Python, Tableau, Excel",0.22,True,High,real
2023-11-27,2023,Data Engineer,Data Engineering,Senior,Full-Time,185900.0,$180K-$250K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Airbyte, dbt, Snowflake",0.22,True,Medium,real
2023-06-08,2023,Data Engineer,Data Engineering,Senior,Full-Time,129300.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, dbt, Fivetran, Databricks",0.22,True,Medium,real
2023-08-26,2023,Data Engineer,Data Engineering,Senior,Full-Time,252000.0,$250K+,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Airbyte, dbt, Snowflake",0.22,True,Medium,real
2023-08-27,2023,Data Engineer,Data Engineering,Senior,Full-Time,129000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"Python, Flink, Kafka, Iceberg",0.3,True,Medium,real
2023-11-19,2023,Data Analytics Manager,Data Analytics,Mid Level,Full-Time,155000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Python, Tableau, Excel",0.12,True,High,real
2023-09-18,2023,Data Analytics Manager,Data Analytics,Mid Level,Full-Time,140000.0,$120K-$180K,United States,North America,United States,On-site,Medium (50-250),Technology,"SQL, Sigma, dbt, Databricks",0.08,False,High,real
2023-08-10,2023,Data Engineer,Data Engineering,Senior,Full-Time,161800.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Flink, Kafka, Iceberg",0.18,True,Medium,real
2023-11-07,2023,Data Engineer,Data Engineering,Senior,Full-Time,141600.0,$120K-$180K,United States,North America,United States,Remote,Medium (50-250),Technology,"Python, Flink, Kafka, Iceberg",0.15,True,Medium,real
